discrepancy,status,handle,title,vendor,mf_is_rx_only,rx_tags_present
metafield_true_no_tag,ACTIVE,xgen-folic-acid-5-mg-ml-10ml-each-39822-1100-01,"Xgen, Folic Acid 5 mg/ml, 10ml, Each (39822-1100-01 )",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,eli-lilly-humulin-70-30-injection-10ml-each-00002-8715-01,"Eli Lilly, Humulin 70/30 Injection, 10ml, Each ( 00002-8715-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,teva-hydroxocobalamin-1000mcg-ml-injection-mdv-30ml-each-00591-2888-30,"Teva, Hydroxocobalamin 1000MCG/ML Injection MDV, 30ml, Each (00591-2888-30)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,halozyme-hylenex-150-u-ml-sdv-1ml-each-18657-0117-02,"Halozyme, Hylenex 150 U/ML SDV, 1ml, Each (18657-0117-02)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,bristol-myers-squibb-kenalog-10mg-ml-injection-mdv-5ml-each-00003-0494-20,"Bristol-Myers Squibb, Kenalog 10mg/ml injection MDV, 5ml, Each ( 00003-0494-20)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fosun-pharma-ketorolac-30mg-ml-injection-im-iv-sdv-1ml-each-72266-0118-25,"Fosun Pharma, Ketorolac 30MG/ml Injection IM/IV SDV, 1ml, Box of 25 (72266-0118-25)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fosun-pharma-ketorolac-60mg-2ml-injection-im-iv-sdv-2ml-box-of-25-72611-0725-25,"Fosun Pharma, Ketorolac 60MG/2ml Injection IM/IV SDV,2ml, Box of 25 (72611-0725-25)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hikma-lidocaine-1-10mg-ml-injection-mdv-50ml-box-of-10-00143-9577-01,"Hikma, Lidocaine 1% 10mg/ml Injection MDV, 50ml, Box of 10 (00143-9577-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hikma-lidocaine-2-20mg-ml-injection-mdv-50ml-box-of-10-00143-9575-01,"Hikma, Lidocaine 2% 20mg/ml Injection MDV, 50ml, Box of 10 (00143-9575-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,mylan-magnesium-chloride-200mg-ml-injection-mdv-50ml-each-67457-0134-50,"Mylan, Magnesium Chloride 200MG/ml Injection MDV, 50ml, Each (67457-0134-50)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,amneal-methylprednisolone-40mg-injection-1ml-each-70121-1573-01,"Amneal, Methylprednisolone 40MG Injection, 1ml, Each (70121-1573-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,amneal-methylprednisolone-80mg-ml-injection-sdv-1ml-each-70121-1574-01,"Amneal, Methylprednisolone 80MG/ML Injection SDV , 1ml, Each (70121-1574-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,apotex-ondansetron-2mg-ml-sdv-2ml-box-of-25-60505-6130-05,"Apotex, Ondansetron 2MG/ML SDV, 2ml, Box of 25 (60505-6130-05)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fresenius-kabi-sodium-bicarbonate-8-4-1-meq-ml-injection-sdv-50ml-pack-of-25-63323-0089-25,"Fresenius Kabi, Sodium Bicarbonate 8.4% 1 mEq/mL Injection SDV, 50ml, Pack of 25 (63323-0089-25)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hospira-sodium-chloride-0-9-pf-sdv-10ml-pack-of-25-00409-4888-02,"Hospira, Sodium Chloride 0.9% PF SDV, 10ml, Pack of 25 (00409-4888-02)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,bd-sodium-chloride-posiflush-ps-0-9-injection-10ml-box-of-30-bd306546,"BD, Sodium Chloride PosiFlush PS 0.9% Injection , 10ml, Box of 30 (BD306546)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hospira-sterile-water-for-injection-50ml-pack-of-25-00409-4887-24,"Hospira, Sterile Water For Injection, 50ml, Pack of 25 (00409-4887-24)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hospira-sterile-water-for-injection-20ml-pack-of-25-00409-4887-23,"Hospira, Sterile Water for Injection, 20ml, Pack of 25 (00409-4887-23)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,hospira-triamcinolone-acetonide-40mg-ml-injection-mdv-10ml-each-70121-1169-01,"Hospira, Triamcinolone Acetonide 40MG/ML Injection MDV, 10ml, Each (70121-1169-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,northstar-rx-triamcinolone-acetonide-40mg-ml-injection-mdv-10ml-each-16714-0150-01,"NorthStar Rx, Triamcinolone Acetonide 40MG/ML Injection MDV, 10ml, Each (16714-0150-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,sanofi-tubersol-10-test-tuberculin-ppd-10ml-each-49281-0752-21,"Sanofi, Tubersol 10 Test (Tuberculin PPD), 10ml, Each (49281-0752-21)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fresenius-kabi-xylocaine-1-10mg-ml-injection-sdv-30ml-pack-of-25-63323-0492-07,"Fresenius Kabi, Xylocaine 1% 10mg/ml Injection SDV, 30ml, Pack of 25 (63323-0492-07)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fresenius-kabi-xylocaine-2-w-epinephrine-mdv-50ml-pack-of-25-63323-0483-01,"Fresenius Kabi, Xylocaine 2% w/ Epinephrine  MDV,50ml, Pack of 25 (63323-0483-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,precision-dose-phentermine-37-5mg-lue-speck-tab-civ-1000-ndc-51224-0101-70,"Precision Dose, Phentermine 37.5mg LUE/SPECK TAB CIV 1000, NDC# 51224-0101-70",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,sunrise-phentermine-37-5mg-lue-speck-tab-civ-1000-ndc-11534-0160-03,"Sunrise, Phentermine 37.5mg LUE/SPECK TAB CIV 1000, NDC# 11534-0160-03",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,pregnyl-10-000-units-injection-10ml-78206-0150-01,"Pregnyl 10,000 units injection 10ML (78206-0150-01)",Modern Medical Products,true,
metafield_true_no_tag,ACTIVE,fresenius-kabi-xylocaine-2-w-epinephrine-mdv-50ml-each-63323-0483-01,"Fresenius Kabi, Xylocaine 2% w/ Epinephrine  MDV,50ml, Each (63323-0483-01)",Modern Medical Products,true,
